name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Amsterdam, Noord-Holland, Nederland",2009-05-07,15.4,10.1,12.8,15.4,10.1,12.8,9.1,78.6,0,0,0,,0,0,52.4,33.7,233.8,1014.9,75.9,18.6,,,,,2009-05-07T05:58:11,2009-05-07T21:16:41,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-08,16.2,9.5,11.9,16.2,6.6,11.5,7.4,74.9,0.949,100,4.17,rain,0,0,74.9,47.4,235,,59.8,22.6,,,,,2009-05-08T05:56:25,2009-05-08T21:18:20,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-09,15.9,6.9,11.4,15.9,4.4,10.6,6.3,72.5,0,0,0,,0,0,48.1,17.2,216.7,,53.3,19.4,,,,,2009-05-09T05:54:40,2009-05-09T21:19:59,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-10,18.7,6.8,13.2,18.7,6.8,13.1,5.9,62.5,0,0,0,,0,0,41.4,27.3,31.7,,32.2,33,,,,,2009-05-10T05:52:57,2009-05-10T21:21:37,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-11,15,8.3,11.7,15,4.8,11,5.8,67.5,0,0,0,,0,0,56.8,37.8,36.1,,28,37.3,,,,,2009-05-11T05:51:16,2009-05-11T21:23:14,0.57,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-12,17.7,7,12.5,17.7,3,11.1,3.1,56.5,0,0,0,,0,0,55,37.9,65.8,1022,29,32.1,,,,,2009-05-12T05:49:37,2009-05-12T21:24:50,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-13,19.8,10.6,15.5,19.8,10.6,15.5,5.7,53.2,0,0,0,,0,0,47.4,31.8,79.8,,72,41.5,,,,,2009-05-13T05:48:00,2009-05-13T21:26:26,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-14,19.4,10.9,15.2,19.4,10.9,15.2,8.6,65.6,8.732,100,12.5,rain,0,0,39,21.7,69.3,,88.4,32.6,,,,,2009-05-14T05:46:24,2009-05-14T21:28:00,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-15,16.5,10.6,13.8,16.5,10.6,13.8,11.4,86.1,10.736,100,16.67,rain,0,0,46.8,19,131.1,,94.9,13.1,,,,,2009-05-15T05:44:51,2009-05-15T21:29:34,0.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-16,16.4,7.8,12.2,16.4,5.6,11.3,8.2,77.2,1.311,100,4.17,rain,0,0,43.5,27.7,189.4,1010.2,54.5,27.1,,,,,2009-05-16T05:43:19,2009-05-16T21:31:07,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-17,15.6,10.4,12.5,15.6,10.4,12.5,10,85.4,19.832,100,12.5,rain,0,0,45.4,28,177.9,1010.2,86.2,22.3,,,,,2009-05-17T05:41:50,2009-05-17T21:32:39,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-18,17,10.5,13.5,17,10.5,13.5,8.8,73.7,0,0,0,,0,0,46.6,30.6,211.6,1016.9,52.4,26.7,,,,,2009-05-18T05:40:23,2009-05-18T21:34:09,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-19,18.3,8.9,13.8,18.3,7.3,13.5,8.8,73.1,0.013,100,4.17,rain,0,0,38.6,26.9,207.9,,50.9,24.8,,,,,2009-05-19T05:38:58,2009-05-19T21:35:39,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-20,18,8.6,13.8,18,6.9,13.7,8.1,70.4,0,0,0,,0,0,31.8,20,235.7,,36.9,27.2,,,,,2009-05-20T05:37:36,2009-05-20T21:37:07,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-21,17,11,14,17,11,14,9,73,0,0,0,,0,0,39,26.8,269.8,,57.6,26,,,,,2009-05-21T05:36:15,2009-05-21T21:38:34,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-22,16.3,7.9,12.8,16.3,7,12.6,8.8,77.9,0.328,100,8.33,rain,0,0,42.9,31.2,256.7,1012.9,50.6,20.2,,,,,2009-05-22T05:34:57,2009-05-22T21:40:00,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-23,19.8,12,16.2,19.8,12,16.2,10.3,69.1,0,0,0,,0,0,30.2,13.5,155.5,,81.3,26.9,,,,,2009-05-23T05:33:42,2009-05-23T21:41:24,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-24,19.1,11.3,15.3,19.1,11.3,15.3,10,71.8,0.022,100,4.17,rain,0,0,28.3,17.5,317.3,,4.4,25.8,,,,,2009-05-24T05:32:29,2009-05-24T21:42:46,0,Rain,Clear conditions throughout the day with early morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-25,23.4,9.3,16.6,23.4,7.7,16.4,11.3,72.8,0,0,0,,0,0,58.5,18,69.8,,27.5,23.7,,,,,2009-05-25T05:31:19,2009-05-25T21:44:07,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
